BS,CS,DB,EB,EB2,EX,HC,ML,PD,PZ,PZh,TT,ZN
0.535355,1.06318,0.0036735,0.245825,-0.00068,492.215,489.275,0.44744,0.2667565,0.294438,0.18595,0.0937465,0.467965
0.34793,1.29102,-0.052449,0.362625,0.2419415,369.01,215.911,0.42781,0.2593435,0.341665,0.212,0.201565,0.50938
0.567495,1.110805,0.07500045,0.413875,0.2169905,729.035,943.325,0.39151,0.6890605,0.4937345,0.149,0.170308,0.31328
0.408446,0.819789,0.11551,0.3441,0.251944,707.715,726.16,0.359125,0.3272,0.518754,0.31825,0.1328115,0.51718
0.333075385,0.85828,0.05428545,0.2861,0.2233005,601.465,721.56,0.389545,0.44063,0.370835,0.02655,-0.01406,0.464065
0.2082025,0.5600685,0.14245,0.480225,0.074275,1185.185,1380.65,0.20999,0.32319,0.630555,0.2422,-0.11875,0.457035
0.2509875,0.80443,0.1362245,0.27135,0.121068,393.075,368.645,0.36404,0.0672277,0.2548695,0.04745,-0.00781515,0.254685
0.620575,0.61139,0.232857,0.3723,0.39651,1346.695,1559.48,0.2531565,0.507925,0.544445,0.31875,0.034375,0.42344
0.39179,0.3219285,0.039898,0.4159,0.328641,317.032,397.995,0.353245,0.2990395,0.52708,0.3578,-0.0156235,0.48203
0.3738075,0.881415,-0.012449,0.324975,0.1457275,761.53,910.29,0.429775,0.42992,0.26459,0.36195,-0.175,0.44766
0.43132,1.010115,0.08112235,0.27015,0.210682,322.535,212.7105,0.28064,0.2942728,0.46804,0.39535,0.0609365,0.50703
0.27828,1.09856,0.04622435,0.337175,0.1428175,310.5475,311.8775,0.2649375,0.32397,0.51319,0.1448,0.13906015,0.46875
0.37598,1.03227,0.23602,0.24595,0.1775735,459.99,552.905,0.3385245,0.411495,0.3923655,0.21145,0.045315,0.483595
0.1891315,0.7951015,-0.0218365,0.231625,0.0230115,238.3105,109.1425,0.41408,0.354145,0.39999,0.088,0.1078115,0.48281
0.528305,0.724925,0.1062242,0.354375,0.2074765,214.275,293.335,0.534765,0.0607672,0.354168,0.1698,0.3078135,0.459375
-0.0006686,0.8124,0.07244895,0.307475,0.107281,396.693,474.3,0.401325,0.26173055,0.39513,0.2854,0.0703135,0.558595
0.2285775,1.04977,0.2497,0.411375,0.1887338,170.9025,125.8525,0.281616,0.359515,0.216662,0.14425,-0.004685,0.2749985
0.94076,0.89969,0.111735,0.449875,0.78874,413.41,296.84,0.314985,0.1839155,0.1569331,0.1505,0.101565,0.357035
0.229909,0.7605,0.068063,0.48965,0.3794195,987.135,1382.58,0.36895,0.398195,0.3381965,0.3568,0.3625035,0.52891
0.2430945,1.05929,0.146737,0.3206,0.083204,431.34,266.19,0.1256,0.162887,0.227077,0.2631,0.2328135,0.426565
0.87895,1.170685,-0.0250001,0.462525,0.49116,281.6,159.0485,0.2973185,0.23992,0.2889025,0.29215,0.059377,0.5125
-0.16977715,0.908435,0.2684675,0.309125,0.20222945,466.905,392.38,0.05299,0.36753,0.297935,0.28645,0.22187665,0.449225
0.2936365,0.575035,-0.0818366,0.461325,0.23039,570.06,618.02,0.298305,0.2015455,0.1861195,0.3542,0.10624835,0.243748
0.035306,0.543154,0.09122442,0.423025,0.4293225,117.987,147.039,0.43959,0.207771,0.486115,0.27865,0.218757,0.36953
0.2861575,1.15533,0.0730615,0.1937,0.109612,230.6335,219.945,0.1727,0.3302,0.203477,0.1917,0.0484385,0.32031
0.521255,1.013415,0.1586724,0.50405,0.3083505,189.88,198.4415,0.41113,0.2348495,0.44098,0.25105,0.2718735,0.362495
0.52058,0.864115,-0.00867365,0.257975,0.182037,346.7305,397.825,0.2521775,0.249484,0.1680575,0.2979,0.204685,0.45234
0.1158129,1.25467,0.184289,0.43625,0.4037845,417.345,577.975,0.2757275,0.2617765,0.954175,0.99215,0.3453115,0.632815
0.576755,0.775855,-0.08734705,0.2987,0.0562135,724.375,919.525,0.406235,0.260546,0.62083,0.80675,0.06249815,0.3421865
0.41637,0.777215,0.035613,0.328225,0.3926235,495.6645,651.14,0.411135,0.361018,0.547934,0.05415,0.103125,0.47266
